vehicle1.identifier,vehicle1.trajectory,vehicle2.identifier,vehicle2.trajectory,vehicle3.identifier,vehicle3.trajectory,vehicle4.identifier,vehicle4.trajectory,vehicle5.identifier,vehicle5.trajectory,distractors.butterfly_level,distractors.bird_level,distractors.far_moving_vegetation,distractors.close_moving_vegetation,occultants.solid_level,occultants.semi_transparent_level,capture.illumination_level,capture.global_light_change_level,capture.local_light_change_level,capture.heat_haze_level,capture.humidity_level,capture.fog_level,signal_quality.force_balance,signal_quality.luminance_mean,signal_quality.luminance_dev,signal_quality.chrominance_U_mean,signal_quality.chrominance_U_dev,signal_quality.chrominance_V_mean,signal_quality.chrominance_V_dev,signal_quality.blur_level,signal_quality.static_noise_level,signal_quality.dynamic_noise_level,signal_quality.frame_instability,signal_quality.line_instability,signal_quality.compression_artefact_level,label_(0_if_usable_and_1_if_not)
3,0,14,7,15,7,5,1,9,5,0.273554,0.07748,0.295427,0.340312,0.212751,0.779659,0.970152,0.25291,0.112881,0.141104,0,0,0,131.259,11.2565,118.918,21.5923,117.835,2.10203,0,0,0,0,0,0,0
9,4,11,0,5,5,2,3,3,6,0.227511,0.0219618,0.253153,0.424612,0.28472,0.605233,0.344044,0.307663,0.598204,0,0,0,0,169.633,12.5752,122.794,27.4829,136.108,15.6179,0,0,0,0,0,0,0
4,2,0,6,3,0,3,1,3,2,0.506754,0.270464,0.759437,0.366431,0.168174,0.748849,0.762133,0.0591517,0.350521,0,0,0,1,147.163,27.7079,137.629,5.69204,134.807,7.26362,0,0,0,0,0,0,0
6,5,10,4,11,0,12,3,1,1,0.254782,0.101979,0.552314,0.102322,0.561219,0.852,0.897653,0.0127315,0.0365284,0,0,0,0,171.664,43.0601,128.912,19.9642,129.843,1.4368,0,0,0,0,0,0,0
4,6,0,3,11,0,2,3,1,5,0.566595,0.130682,0.622308,0.89164,0.828719,0.683879,0.47331,0.228407,0.58669,0,0,0,0,96.8622,39.4199,112.629,26.6943,121.026,22.6282,0,0,0,0,0,0,0
7,4,8,0,13,1,0,5,1,7,0.189949,0.0311371,0.873473,0.913434,0.172605,0.363342,0.975389,0.270524,0.0800441,0.0391923,0,0,0,147.466,9.50392,114.23,30.2927,142.788,16.577,0,0,0,0,0,0,0
7,2,3,0,6,4,7,1,7,1,0.200495,0.642008,0.847587,0.560485,0.436192,0.617777,0.279996,0.231246,0.132373,0,0,0,0,80.3797,27.8972,117.594,4.23067,132.254,25.9617,0,0,0,0,0,0,0
12,7,12,4,2,5,13,0,1,0,0.642284,0.0476387,0.313546,0.180319,0.849942,0.512373,0.892718,0.124439,0.652902,0,0,0,0,174.497,64.7673,138.45,7.7555,132.152,24.169,0,0,0,0,0,0,0
6,1,13,2,13,6,3,3,14,3,0.0236507,0.164826,0.406999,0.71141,0.876143,0.353836,0.256114,0.0443771,0.354194,0,0,0,0,148.077,66.9145,138.772,29.1133,116.821,10.0399,0,0,0,0,0,0,0
1,4,13,5,0,3,7,3,12,2,0.0433975,0.00282623,0.255202,0.11295,0.257509,0.00792171,0.666627,0.288493,0.0317945,0,0,0,0,109.697,30.0863,143.816,30.2491,137.492,24.9561,0,0.176187,0,0,0,0,0
10,2,2,7,5,4,13,4,6,2,0.244393,0.0274218,0.889194,0.832687,0.740726,0.179264,0.573534,0.0128514,0.596959,0,0,0,0,89.4169,51.9947,137.594,9.45394,138.605,24.6241,0.110407,0,0,0,0,0,1
3,6,10,2,2,1,15,4,4,2,0.139041,0.0454176,0.757224,0.0328152,0.683094,0.470157,0.830598,0.1524,0.794501,0,0,0,0,116.277,42.002,115.59,10.0853,139.801,26.6018,0,0,0,0,0,0,0
13,3,1,5,12,4,9,0,4,3,0.318145,0.0257705,0.183287,0.268034,0.952722,0.75554,0.906293,0.40019,0.435432,0.661046,0,0,0,104.532,58.5045,137.572,8.25187,132.145,7.24895,0,0,0,0,0,0,0
8,6,12,3,3,2,7,4,13,7,0.0112347,0.29432,0.47543,0.584148,0.37947,0.0690001,0.47983,0.0410924,0.265907,0,0,0,0,91.4634,46.3783,127.8,16.1356,116.292,12.3332,0,0,0,0,0,0,0
15,0,8,3,11,6,1,1,8,5,0.131808,0.446256,0.603289,0.831959,0.311911,0.620258,0.99994,0.11082,0.47144,0.507513,0,0,0,136.241,80.0801,125.575,31.2992,127.422,2.91163,0,0,0,0,0,0,0
12,1,4,2,3,1,2,5,14,6,0.567697,0.00707349,0.569346,0.67633,0.694712,0.706728,0.375359,0.084638,0.144446,0,0,0,0,101.826,58.3542,140.335,10.3402,128.812,23.4535,0,0,0,0,0,0,0
8,3,3,3,12,1,0,7,12,2,0.0294005,0.369722,0.20291,0.325292,0.617521,0.688874,0.0256713,0.670835,0.0258022,0,0,0,0,87.3005,85.9382,123.793,22.2073,129.406,31.1187,0,0,0,0,0,0,1
6,4,1,2,6,6,4,1,10,4,0.82873,0.0525219,0.198278,0.521949,0.309938,0.32747,0.588153,0.00163312,0.803121,0,0,0,0,139.466,94.2551,112.231,2.29392,113.646,30.0596,0,0,0,0,0,0,0
14,4,8,6,3,7,12,2,3,1,0.0104988,0.211453,0.399414,0.777334,0.861588,0.694,0.86566,0.325365,0.473921,0,0,0,0,87.5848,93.3781,132.636,15.5879,135.656,21.6428,0,0,0,0,0,0,0
11,4,0,1,7,3,6,4,8,3,0.286368,0.000988343,0.0781531,0.498746,0.349724,0.751655,0.645836,0.00565519,0.00908877,0,0,0,0,111.068,40.498,115.437,6.71713,120.302,16.8249,0,0,0,0,0,0,0
8,1,13,0,0,0,6,2,13,4,0.000983463,0.0872585,0.0171953,0.880803,0.522397,0.729615,0.448027,0.0437279,0.0856119,0,0,0,0,136.726,93.6439,129.872,2.36871,128.228,19.7705,0,0,0,0,0,0,0
3,6,10,3,5,7,8,1,2,3,0.453356,0.0840832,0.32304,0.950645,0.814744,0.929318,0.470309,0.420388,0.116603,0,0,0,0,112.225,91.8702,129.947,26.49,117.205,10.5305,0,0.672665,0,0,0,0,0
5,1,7,2,14,0,2,0,3,5,0.260379,0.743998,0.2288,0.952103,0.106507,0.84166,0.584908,0.321275,0.368793,0,0,0,0,101.823,2.24007,124.411,31.3818,119.022,7.32312,0,0.372591,0,0,0,0,0
8,3,14,4,6,3,9,2,13,4,0.07672,0.243424,0.542258,0.344454,0.624852,0.465482,0.784645,0.50611,0.189865,0,0,0,0,124.933,41.1325,116.978,28.2162,137.288,27.8185,0,0,0,0,0,0,0
5,1,9,4,15,5,3,4,4,1,0.00814731,0.0751433,0.834903,0.450379,0.37279,0.655937,0.527425,0.540294,0.0214086,0,0,0.395649,0,144.233,78.3036,133.851,20.0852,140.348,7.13239,0,0,0,0,0,0,0
15,0,11,6,6,0,3,6,6,7,0.034045,0.0113317,0.1567,0.991785,0.188766,0.782881,0.558827,0.165008,0.393289,0,0,0.658828,0,107.474,41.354,137.114,11.867,116.987,24.116,0,0,0,0,0.169644,0,0
13,0,10,1,7,5,14,1,3,4,0.739841,0.0609815,0.815929,0.25347,0.391523,0.433399,0.935845,0.554065,0.1532,0.0881572,0,0,0,97.769,86.517,122.353,19.5755,132.203,22.5551,0.00569828,0,0,0,0,0,1
14,7,10,0,1,4,8,0,11,6,0.0716891,0.0466217,0.260923,0.459189,0.783261,0.755114,0.856051,0.795823,0.664907,0,0,0,0,121.14,38.4294,118.891,13.5595,116.723,25.8403,0,0,0,0,0,0,0
15,0,2,3,3,2,9,3,3,6,0.0198589,0.051619,0.690487,0.290104,0.558934,0.0490747,0.519122,0.260858,0.0712379,0,0,0,1,104.028,88.4196,133.833,17.5846,143.041,27.7343,0,0,0,0.120649,0,0,0
8,1,0,5,13,6,12,5,13,6,0.000173158,0.0705793,0.552009,0.107831,0.895629,0.0512442,0.980542,0.0347275,0.0535442,0.0815318,0,0,0,110.362,26.3053,124.351,26.1462,124.049,28.3845,0,0,0,0,0,0,0
8,5,0,7,12,6,10,0,10,5,0.426342,0.451717,0.157646,0.0141354,0.456607,0.194241,0.987421,0.164717,0.106489,0.0709476,0,0,0,141.492,73.7716,134.158,14.0813,116.662,26.9219,0,0,0,0,0,0,0
10,2,8,2,10,1,13,6,9,1,0.0280967,0.207128,0.918619,0.934896,0.188518,0.454499,0.670019,0.0846077,0.134145,0,0,0,0,167.136,25.9586,114.634,19.7336,124.038,30.7675,0,0,0,0,0,0.313308,0
6,3,1,1,5,6,2,5,8,6,0.80449,0.176888,0.890008,0.843105,0.0627892,0.245059,0.842717,0.211294,0.495202,0,0,0,0,80.8384,9.68337,136.704,4.52068,129.647,22.0295,0,0,0,0.773538,0,0,0
14,1,1,0,9,2,15,2,10,1,0.572168,0.00352364,0.283403,0.125766,0.202636,0.286801,0.982822,0.465287,0.133919,0.0777204,0,0,0,91.5475,63.91,143.286,23.7699,113.52,30.2651,0,0,0,0,0,0,0
11,1,3,7,13,1,4,2,11,1,0.000464457,0.0460922,0.211454,0.148527,0.980977,0.993838,0.628815,0.00340283,0.253087,0,0,0,0,96.7687,11.0784,131.102,8.87276,138.225,28.9815,0,0,0,0,0,0,0
2,0,4,7,10,4,9,1,7,4,0.204776,0.00344553,0.637057,0.951399,0.895118,0.512542,0.783219,0.186749,0.0149652,0,0,0,0,84.5366,42.0506,132.482,21.5583,139.523,29.9544,0,0,0,0,0,0,0
5,4,6,6,0,1,14,3,12,7,0.117835,0.0827808,0.159541,0.993751,0.402951,0.978245,0.656759,0.0444873,0.253742,0,0,0,0,119.503,88.4032,136.66,6.97807,126.291,26.7002,0,0,0,0,0,0,0
11,4,11,0,14,4,5,3,3,6,0.169437,0.121232,0.831774,0.909642,0.315036,0.768032,0.425289,0.273005,0.507304,0,0,0.403264,0,92.3376,67.8748,137.649,4.10422,125.001,18.621,0,0,0,0,0,0,0
15,7,15,3,8,5,4,2,3,4,0.37998,0.000205664,0.984813,0.687843,0.846288,0.922347,0.932621,0.526199,0.688392,0.208846,0,0,0,108.627,5.94356,132.893,13.0967,126.278,16.3969,0,0,0,0,0,0,0
6,2,14,4,3,3,10,0,6,4,0.147049,0.0162558,0.184835,0.101172,0.938764,0.914415,0.378102,0.0340165,0.796489,0,0,0,0,133.099,89.3543,142.182,22.0126,141.375,25.0462,0,0,0,0,0,0,0
0,4,12,4,15,2,7,7,11,2,0.147477,0.0191125,0.373437,0.347305,0.621678,0.113143,0.512509,0.392794,0.752722,0,0,0,0,125.534,44.9248,136.524,24.0928,133.515,25.2992,0,0,0,0,0,0,0
9,2,4,3,7,4,4,6,12,3,0.212666,0.168497,0.202056,0.258955,0.489918,0.927844,0.606074,0.139169,0.20456,0,0,0,0,91.6301,59.4417,138.057,3.37429,140.285,19.4522,0.325344,0,0.0134363,0,0,0,1
1,7,13,3,9,7,2,0,5,0,0.0100104,0.00141981,0.472324,0.417048,0.813979,0.392224,0.818162,0.277005,0.233512,0,0,0,0,85.9505,87.856,125.259,31.2316,121.734,21.9987,0,0,0,0,0,0,0
14,1,8,1,4,7,9,4,1,2,0.378455,0.0995762,0.165915,0.547945,0.141826,0.859888,0.616517,0.0134943,0.0751511,0,0,0,0,114.974,79.0855,123.89,0.477794,130.013,15.9311,0,0,0,0,0,0,0
5,5,6,0,13,4,5,4,4,1,0.803503,0.0789277,0.446177,0.0389943,0.371719,0.844147,0.725041,0.249253,0.264394,0,0,0,0,159.474,26.7646,119.929,31.7271,117.583,1.6557,0,0,0,0,0,0,0
0,2,7,0,11,1,1,6,8,0,0.368386,0.00115376,0.30244,0.528991,0.860885,0.5819,0.608841,0.474995,0.358005,0,0,0,0,155.744,30.5511,138.139,10.4812,113.935,5.56092,0,0,0,0,0,0,0
8,7,15,6,7,4,0,7,6,5,0.051836,0.00140515,0.376754,0.57891,0.076349,0.533498,0.975937,0.622824,0.221789,0.418039,0,0,0,168.036,29.9329,143.688,8.35357,137.609,4.72067,0,0,0,0,0,0.520824,0
7,1,2,1,5,6,14,1,4,7,0.201232,0.00415324,0.327348,0.141092,0.547315,0.0287567,0.0432105,0.390108,0.0589233,0,0,0,0,162.253,31.4441,130.018,18.0874,123.183,29.3191,0,0,0,0,0,0,0
11,3,10,5,0,6,6,1,0,2,0.00395889,0.134125,0.330728,0.780937,0.48342,0.229384,0.657874,0.267556,0.42164,0,0,0,0,129.142,77.102,130.28,20.7368,143.546,26.5364,0,0.365789,0,0,0,0,0
4,6,0,6,12,2,12,6,6,5,0.69448,0.0336796,0.320253,0.135836,0.0599392,0.0186265,0.910945,0.634822,0.564402,0.825549,0,0,0,155.273,15.364,132.626,19.1664,132.589,8.99972,0,0,0,0,0,0,0
12,3,11,4,5,7,15,6,12,0,0.883271,0.00401263,0.277963,0.944769,0.0738607,0.334021,0.505271,0.479633,0.153024,0,0,0.511005,0,127.528,11.3335,120.819,7.69629,128.364,1.29584,0,0,0,0,0,0,0
0,5,9,6,13,2,4,4,8,2,0.868059,0.00144414,0.310903,0.883628,0.836601,0.591328,0.255422,0.466381,0.0785694,0,0,0,0,141.354,32.6493,130.785,21.9195,116.389,28.2597,0,0.483529,0,0,0,0,0
1,1,5,6,6,5,5,3,10,4,0.223745,0.499471,0.678491,0.466552,0.563078,0.493853,0.661664,0.645417,0.00967423,0,0,0,0,135.746,44.6048,132.771,12.0066,134.321,20.5048,0,0,0,0,0,0,0
1,0,11,6,11,0,14,6,10,4,0.00157776,0.00705356,0.520486,0.834786,0.254244,0.548041,0.804065,0.141251,0.0818682,0,0,0,0,118.4,29.7295,114.731,12.9882,142.59,23.3562,0,0,0,0,0,0,0
7,0,6,6,12,1,9,0,1,2,0.213002,0.010953,0.488219,0.783712,0.471881,0.889669,0.918017,0.248168,0.768496,0.641982,0,0,0,152.361,49.3709,128.683,9.98523,136.567,12.3005,0,0.119618,0,0,0,0,0
8,3,4,4,0,5,7,5,14,5,0.0311534,0.012617,0.804627,0.342757,0.951305,0.420817,0.76691,0.720253,0.202062,0,0,0,0,174.637,67.6316,133.873,11.398,124.489,14.278,0,0,0,0,0,0,0
0,4,6,4,2,6,2,0,7,1,0.437581,0.0114094,0.182058,0.1342,0.0177236,0.767288,0.483604,0.155179,0.214207,0,0,0,0,136.846,72.6759,142.43,30.88,130.766,3.51787,0,0,0,0,0,0,0
2,1,7,7,9,0,12,3,7,3,0.314156,0.301477,0.451925,0.209168,0.837219,0.0841987,0.885716,0.912368,0.242887,0,0,0,0,159.71,42.7815,143.892,7.8881,114.379,13.5919,0,0,0,0,0,0,0
14,7,5,0,7,7,8,3,8,7,0.248524,0.285435,0.275927,0.188857,0.972536,0.904693,0.295359,0.00133495,0.311273,0,0,0,0,147.767,16.2741,119.894,19.5018,118.601,8.61936,0,0,0,0,0,0,0
4,4,13,3,15,3,6,1,9,0,0.0568253,0.0323537,0.207937,0.93524,0.255138,0.183356,0.507022,0.340563,0.512881,0,0,0,1,166.507,73.2163,131.767,7.93558,138.788,2.86704,0,0,0,0,0.577266,0,0
2,7,8,0,1,3,11,6,10,7,0.709015,0.190911,0.512795,0.731488,0.358929,0.131283,0.625923,0.71214,0.287592,0,0,0,0,165.857,35.5476,121.301,30.7584,131.256,15.4132,0,0,0,0,0,0.726953,1
14,2,0,3,5,4,2,5,4,6,0.330221,0.197036,0.348996,0.817441,0.650741,0.577274,0.65784,0.0325962,0.305062,0,0,0,0,124.059,57.3565,142.209,27.5894,118.268,2.13659,0,0,0,0,0,0.861873,1
5,0,9,6,15,0,9,5,15,7,0.0265149,0.034472,0.137023,0.718109,0.520171,0.0378495,0.667633,0.0772396,0.00807984,0,0,0,0,102.995,4.72142,134.408,29.7193,122.318,18.6785,0.948676,0,0,0,0,0,1
11,3,11,6,13,5,15,2,6,5,0.0142059,0.0279429,0.848529,0.506238,0.482116,0.516101,0.979153,0.605569,0.268672,0.516818,0,0,0,99.9687,9.79661,135.584,12.6614,118.348,21.4032,0,0.720269,0,0,0,0,0
8,6,5,1,10,2,9,7,11,3,0.0569902,0.0579071,0.555259,0.630385,0.89651,0.969617,0.741183,0.138289,0.348116,0,0,0,0,103.876,71.4808,133.58,12.0042,126.856,7.17068,0,0,0,0.284331,0,0,0
0,4,9,4,9,2,15,7,2,1,0.318398,0.00818091,0.767531,0.671849,0.498706,0.737211,0.43185,0.277524,0.00545582,0,0,0,0,89.345,57.0618,128.431,15.8655,130.735,5.89384,0,0,0,0,0,0,0
11,7,13,2,3,0,2,5,6,2,0.136372,0.0354522,0.706894,0.266857,0.519982,0.330665,0.640343,0.00181166,0.195227,0,0,0,0,175.137,2.4123,119.611,11.3264,118.193,5.14865,0,0,0,0,0,0,0
10,4,8,7,13,0,10,0,6,7,0.00543891,0.646831,0.349175,0.605472,0.632858,0.956349,0.163133,0.0167005,0.560788,0,0,0,0,144.564,63.6716,123.037,13.5197,126.288,7.86236,0,0,0,0,0,0,0
2,4,5,6,13,7,13,3,0,1,0.404472,0.0764622,0.685732,0.0250829,0.754872,0.0451604,0.415997,0.0495988,0.000788445,0,0,0,0,138.562,73.3646,119.597,26.2327,138.772,14.0887,0,0,0,0,0,0,0
11,5,5,7,2,5,8,7,9,5,0.316673,0.0172629,0.139749,0.698073,0.737699,0.0333437,0.916857,0.149198,0.75412,0.799554,0,0,0,117.305,68.548,119.639,27.0557,139.308,4.0508,0,0,0,0,0.475355,0,0
13,3,6,1,3,5,14,1,9,3,0.200117,0.0300683,0.214403,0.898785,0.952244,0.792639,0.801204,0.148823,0.671602,0,0,0,0,159.715,51.5818,119.432,11.8729,121.651,9.33136,0,0,0,0,0,0,0
15,6,3,6,5,2,6,1,12,4,0.0510381,0.113502,0.208027,0.333713,0.343014,0.141964,0.257905,0.0937649,0.218295,0,0,0,0,83.2945,63.5155,124.018,13.6105,140.358,15.7971,0,0,0,0,0,0,0
0,4,6,4,4,2,13,3,4,3,0.0538871,0.260716,0.968223,0.588988,0.0120928,0.167559,0.4827,0.337347,0.179097,0,0,0,0,121.836,33.233,114.55,6.76079,125.975,27.5869,0,0,0,0,0,0,0
7,6,1,6,1,1,13,0,8,3,0.105279,0.0276366,0.245885,0.383032,0.27179,0.632082,0.982832,0.223196,0.0443411,0.229866,0,0,0,113.081,80.5852,136.153,21.0201,130.641,28.0418,0,0,0,0,0,0,0
5,6,15,7,8,5,10,5,14,6,0.0287037,0.0540318,0.852218,0.483596,0.451684,0.235703,0.411061,0.0038173,0.448067,0,0,0,0,106.408,84.819,137.482,12.6827,130.855,13.2772,0,0,0,0,0,0,0
13,4,4,3,0,3,11,0,9,3,0.268927,0.04796,0.0985041,0.646294,0.31425,0.371786,0.65134,0.724057,0.0821791,0,0,0,0,147.489,28.0933,134.65,6.34483,124.969,2.69705,0,0,0,0,0,0,0
10,6,5,4,10,6,10,0,2,7,0.320066,0.17651,0.645052,0.938772,0.956634,0.608137,0.435751,0.558573,0.00497247,0,0,0.684628,0,136.424,53.9683,118.238,31.0245,133.139,6.23459,0.401511,0,0,0,0,0,1
14,2,1,0,13,3,13,5,14,1,0.304379,0.170504,0.750047,0.294048,0.107128,0.518972,0.231503,0.0591155,0.389381,0,0,0.228186,0,147.582,4.63471,117.64,24.6249,120.434,24.5976,0,0,0,0,0,0,0
3,6,4,5,0,7,11,3,7,0,0.0150504,0.0281211,0.516694,0.906664,0.193538,0.0891374,0.880916,0.0286183,0.113829,0,0,0,0,133.774,47.6794,125.391,8.29962,127.858,18.9526,0,0,0,0,0,0,0
3,0,5,4,2,4,3,5,7,6,0.156212,0.025937,0.279936,0.464831,0.258779,0.319845,0.840348,0.00605033,0.225193,0,0,0,0,112.44,30.0321,131.237,23.7853,124.866,16.1107,0,0.339021,0,0,0,0,0
14,7,10,1,6,3,6,1,6,7,0.325724,0.00711518,0.148105,0.497926,0.905192,0.705705,0.678938,0.135624,0.436684,0,0,0,0,134.766,60.3973,136.216,28.9613,116.952,27.5269,0,0,0,0,0,0,0
5,1,6,6,6,3,4,7,6,7,0.0139717,0.00349003,0.24395,0.273211,0.911,0.50152,0.59309,0.13446,0.216085,0,0,0,0,93.553,58.0946,113.358,11.6374,120.648,14.5302,0,0,0,0,0,0.725577,1
9,7,3,5,8,0,4,3,14,6,0.413152,0.0265633,0.705469,0.621582,0.814997,0.408293,0.449994,0.529952,0.727227,0,0,0,0,145.681,80.1964,133.479,21.4742,114.876,10.6834,0,0,0,0,0.0954242,0.227993,0
6,2,6,0,4,2,7,2,2,1,0.484463,0.386919,0.00423939,0.675842,0.626855,0.974064,0.133904,0.0796898,0.078136,0,0,0,0,147.105,16.2666,127.778,31.0029,120.559,7.00222,0,0,0,0,0,0,0
7,2,14,6,4,0,1,0,15,4,0.157209,0.0509848,0.407077,0.73059,0.580259,0.172466,0.708611,0.704796,0.143569,0,0,0,0,132.597,55.6412,116.712,18.4214,117.129,10.7284,0,0,0,0,0,0,0
3,0,14,5,7,3,13,5,14,4,0.368224,0.33572,0.836097,0.621469,0.348084,0.787234,0.890452,0.269837,0.0467353,0,0,0,1,175.858,67.6831,120.128,27.1416,134.583,26.0107,0,0,0,0,0,0,0
